a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,days
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84
0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.35
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.37
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.89
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.52
0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5.89
0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,6.11
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.43
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.7
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8.3
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7.52
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.87
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.84
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.17
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4.95
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12.17
